dist,passen,fare,concen
851,298,123,.86120003
1388,190,129,.53860003
1374,244,247,.70969999
1167,339,176,.3716
1730,710,109,.51969999
512,163,171,.96930003
2048,197,220,.62310004
990,192,161,.64199996
2698,310,152,.28470001
3187,187,214,.3001
1803,383,188,.48470002
935,954,117,.68830001
562,319,198,.71919996
359,241,75,.84650004
1201,443,151,.49310002
1159,178,149,.80610001
785,678,105,.92790002
1091,806,131,.87540001
1583,181,193,.65750003
2930,355,250,.29479998
1433,372,154,.875
1019,178,131,.65830004
2506,197,169,.56330001
529,1454,68,.82539999
1795,208,156,.3159
796,167,124,.50980002
983,182,158,.75339997
1012,370,133,.83899999
1446,202,146,.345
1404,205,155,.61629999
1904,288,156,.49169999
1508,165,156,.56870002
2658,337,226,.4041
1056,138,295,.83489996
1462,490,118,.57080001
664,147,122,.88349998
522,729,72,.77149999
862,272,121,.59179997
1224,161,124,.95609999
201,87,158,.99620003
1309,415,248,.68970001
929,1268,173,.61619997
724,156,185,.921
1525,2188,177,.74870002
1148,547,115,.50870001
417,206,218,.96139997
366,513,250,.6904
975,3415,173,.45919999
601,508,216,.95679998
893,616,197,.53670001
1912,170,205,.73280001
308,78,259,.96769994
719,450,206,.86470002
1180,2644,189,.47679999
696,642,116,.6275
1933,1303,221,.49130002
958,1415,132,.49090001
1038,184,124,.83589995
937,1653,137,.71720004
830,460,127,.72540003
493,710,110,.66500002
1385,759,197,.81620002
1116,1554,151,.45279998
696,434,235,.82690001
550,176,269,.95679998
435,955,119,.70779997
1117,808,168,.63669997
2817,816,221,.67519999
488,127,232,.98290002
730,207,226,.88519996
3138,1537,301,.63690001
517,272,272,.9508
535,1120,106,.58819997
959,1591,134,.57590002
1079,401,208,.5352
1461,1192,141,.546
487,176,165,.98890001
345,303,274,.991
685,998,131,.6656
1219,6768,168,.62269998
819,272,107,.95999998
832,439,132,.91420001
1227,254,204,.71620005
1325,205,232,.71830004
3067,221,286,.53250003
650,1982,133,.65849996
1072,2318,129,.58770001
2559,716,284,.60509998
848,803,137,.4657
3504,353,320,.67940003
1458,230,230,.83429998
574,1411,117,.55269998
775,535,194,.94269997
1209,193,197,.80610001
3377,244,305,.588
2564,530,234,.62950003
1409,418,224,.72980005
3051,523,303,.64819998
3450,1237,370,.63849998
3414,372,407,.57609999
3096,341,347,.59669995
346,453,97,.74870002
3520,607,343,.60299999
779,707,226,.4937
1280,198,202,.77079999
654,1769,135,.6947
1087,188,233,.75459999
425,217,112,.68099999
870,3195,185,.5607
879,557,159,.96940005
