nazione;densita;urbana;vitafem;vitamas;alfabet;pil;relig
Argentina;12;86;75;68;95;3408;Catt
Armenia;126;68;75;68;98;5000;Ort
Australia;2;85;80;74;100;16848;Prot
Austria;94;58;79;73;99;18396;Catt
Barbados;605;45;78;73;99;6950;Prot
Belgio;329;96;79;73;99;17912;Catt
Bielorussia;50;65;76;66;99;6500;Ort
Bolivia;7;51;64;59;78;730;Catt
Brasile;18;75;67;57;81;2354;Catt
Bulgaria;79;68;75;69;93;3831;Ort
Burundi;216;5;50;46;50;208;Catt
Canada;3;77;81;74;97;19904;Catt
Cile;18;85;78;71;93;2591;Catt
Colombia;31;70;75;69;87;1538;Catt
Corea Sud;447;72;74;68;96;6627;Prot
Costa Rica;64;47;79;76;93;2031;Catt
Croazia;85;51;77;70;97;5487;Catt
Cuba;99;74;78;74;94;1382;Catt
Danimarca;120;85;79;73;99;18277;Prot
Ecuador;39;56;73;67;88;1085;Catt
El Salvador;246;44;69;64;73;1078;Catt
Estonia;36;72;76;67;99;6000;Prot
Filippine;221;43;68;63;90;867;Catt
Finlandia;39;60;80;72;100;15877;Prot
Francia;105;73;82;74;99;18944;Catt
Gabon;4;46;58;52;61;4283;Catt
Georgia;81;56;76;69;99;4500;Ort
Germania;227;85;79;73;99;17539;Prot
Gran Bretag.;237;89;80;74;99;15974;Prot
Grecia;80;63;80;75;93;8060;Ort
Guatemala;97;39;67;62;55;1342;Catt
Haiti;231;29;47;43;53;383;Catt
Honduras;46;44;70;65;73;1030;Catt
Irlanda;51;57;78;73;98;12170;Catt
Islanda;3;91;81;76;100;17241;Prot
Italia;188;69;81;74;97;17500;Catt
Kenya;49;24;55;51;69;323;Catt
Lettonia;40;71;75;64;99;7400;Prot
Lituania;58;69;77;68;99;6710;Catt
Messico;46;73;77;69;87;3604;Catt
Nicaragua;33;60;67;61;57;447;Catt
Norvegia;11;75;81;74;99;17755;Prot
Nuova Zeland;13;84;80;73;99;14381;Prot
Olanda;366;89;81;75;99;17245;Catt
Panama;34;53;78;71;88;2397;Catt
Paraguay;11;48;75;72;90;1500;Catt
Peru;18;70;67;63;85;1107;Catt
Polonia;123;62;77;69;99;4429;Catt
Portogallo;108;34;78;71;85;9000;Catt
Rep.C.Afric.;5;47;44;41;27;457;Prot
Rep.Ceca;132;60;77;69;80;7311;Catt
Rep.Dominic.;159;60;70;66;83;1034;Catt
Romania;96;54;75;69;96;2702;Ort
Russia;9;74;74;64;99;6680;Ort
Rwanda;311;6;46;43;50;292;Catt
Spagna;77;78;81;74;95;13047;Catt
Stati Uniti;26;75;79;73;97;23474;Prot
Sudafrica;35;49;68;62;76;3128;Prot
Svezia;19;84;81;75;99;16900;Prot
Svizzera;170;62;82;75;99;22384;Catt
Ucraina;87;67;75;65;97;2340;Ort
Uganda;76;11;43;41;48;325;Catt
Ungheria;111;64;76;67;99;5249;Catt
Uruguay;18;89;77;71;96;3131;Catt
Venezuela;22;91;76;70;88;2829;Catt
Zambia;11;42;45;44;73;573;Prot
